Source_File,phone,minTime,maxTime,Preceding Token,Following Token,isWordInitial,Containing Word,Phones Per Second,K,G,B,P,D,T,ʈ,k,g,b,p,d,t,tsʰ,pʲ,tɕʰ,tɕ,ʈʂ,tʰ,kʰ,ʈʂʰ,pʷ,tʷ,ts,pʰ,kʷ,tʲ,tɕʷ
F03B_man_isolated.csv,tɕʰ,75.23168,75.39168,u˧˥,ow˧˥,False,"Interval(75.02168, 75.58168, 足球)",8.154537547115023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,76.578,76.678,y˥˩,e˥˩,False,"Interval(76.448, 76.808, 遇见)",9.708737864077658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂ,77.058,77.138,n,ʐ̩˥,True,"Interval(77.058, 77.228, 只)",9.523874312070179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʰ,77.228,77.388,ʐ̩˥,a˥˩,True,"Interval(77.228, 77.508, 胖)",10.204151048646619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,ʈʂ,77.73801,77.84801,,u˥,True,"Interval(77.73801, 77.998, 猪)",8.35235814911744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tsʰ,89.83029,89.9603,n,aj˥˩,False,"Interval(89.63029, 90.08029, 饭菜)",12.295081967213127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,pʲ,90.3503,90.41029,ŋ,i˥,True,"Interval(90.3503, 90.86029, 冰箱)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕʰ,92.47662,92.63662,n,i˥,True,"Interval(92.47662, 92.94662, 期间)",12.280701754385959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,92.69662,92.76662,i˥,e˥,False,"Interval(92.47662, 92.94662, 期间)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,p,92.94662,92.99662,n,j,True,"Interval(92.94662, 93.11662, 别)",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B_man_isolated.csv,tɕ,93.11662,93.20662,e˧˥,a˨˩˦,True,"Interval(93.11662, 93.76662, 讲话)",9.923664122137387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
